"Interferer Name","Interferer ID"
"Satellite/LEOSAT1/Transmitter/LEO_Transmitter",0
"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",1
"Satellite/LEOSAT3/Transmitter/LEO_Transmitter",2
"Satellite/LEOSAT4/Transmitter/LEO_Transmitter",3
"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",4
"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",5

"Time (UTCG)","Link To ID","IF Source ID","Interferer Name","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Power At Rcvr Input (dBW)","Rcvr Gain (dB)","Rcvr NormGain","Rcvr Loss (dB)","Bandwidth Overlap (units)","Pwr Flux Density (dBW/m^2)","C/I (dB)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)"
10 Aug 2024 04:33:59.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.6408,13.689,104.913,66.156,1726.846652,0.000,0.000,15.000,-167.026,0.0000,1.000000,180.7147,0.9999,-121.064901,14.2908,0.000,0.0000,180.7147,0.0000,0.0000
10 Aug 2024 04:34:59.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.5164,13.565,117.248,66.918,1890.136210,0.000,0.000,15.000,-167.935,0.0000,1.000000,181.4995,0.9998,-121.965099,15.2004,0.000,0.0000,181.4995,0.0000,0.0000
10 Aug 2024 04:35:59.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.4065,13.455,127.052,67.599,2121.604252,0.000,0.000,15.000,-169.049,0.0000,1.000000,182.5029,0.9997,-123.071871,16.3139,0.000,0.0000,182.5029,0.0000,0.0000
10 Aug 2024 04:36:59.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.3462,13.395,134.586,67.976,2400.704595,0.000,0.000,15.000,-170.183,0.0000,1.000000,183.5764,0.9997,-124.201242,17.4479,0.000,0.0000,183.5764,0.0000,0.0000
10 Aug 2024 05:39:18.000,0,5,"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",15.000,0.3373,13.386,2.187,68.031,2572.121501,0.000,0.000,15.000,-170.791,0.0000,1.000000,184.1754,0.9996,-124.796740,18.0563,0.000,0.0000,184.1754,0.0000,0.0000
10 Aug 2024 05:40:18.000,0,5,"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",15.000,0.3923,13.441,1.995,67.688,2166.307952,0.000,0.000,15.000,-169.245,0.0000,1.000000,182.6840,0.9996,-123.250466,16.5099,0.000,0.0000,182.6840,0.0000,0.0000
10 Aug 2024 05:41:18.000,0,2,"Satellite/LEOSAT3/Transmitter/LEO_Transmitter",15.000,0.3392,13.388,311.364,68.020,2493.669507,0.000,0.000,15.000,-170.520,0.0000,1.000000,183.9064,0.9997,-124.539942,17.7848,0.000,0.0000,183.9064,0.0000,0.0000
10 Aug 2024 05:41:18.000,0,5,"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",15.000,0.6093,13.658,1.722,66.348,1762.826061,0.000,0.000,15.000,-167.238,0.0000,1.000000,180.8938,0.9996,-121.243704,14.5026,0.000,0.0000,180.8938,0.0000,0.0000
10 Aug 2024 05:42:18.000,0,2,"Satellite/LEOSAT3/Transmitter/LEO_Transmitter",15.000,0.3753,13.424,303.819,67.794,2229.839999,0.000,0.000,15.000,-169.512,0.0000,1.000000,182.9351,0.9998,-123.537114,16.7772,0.000,0.0000,182.9351,0.0000,0.0000
10 Aug 2024 05:42:18.000,0,5,"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",15.000,1.1453,14.194,1.281,63.152,1366.131535,0.000,0.000,15.000,-164.487,0.0000,1.000000,178.6795,0.9996,-118.494555,11.7522,0.000,0.0000,178.6795,0.0000,0.0000
10 Aug 2024 05:43:18.000,0,2,"Satellite/LEOSAT3/Transmitter/LEO_Transmitter",15.000,0.4491,13.498,294.282,67.335,2014.790876,0.000,0.000,15.000,-168.557,0.0000,1.000000,182.0542,0.9998,-122.589012,15.8223,0.000,0.0000,182.0542,0.0000,0.0000
10 Aug 2024 05:43:18.000,0,5,"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",15.000,2.4527,15.501,0.419,55.988,987.050061,0.000,0.000,15.000,-160.357,0.0000,1.000000,175.8564,0.9996,-114.367280,7.6217,0.000,0.0000,175.8564,0.0000,0.0000
10 Aug 2024 05:44:18.000,0,2,"Satellite/LEOSAT3/Transmitter/LEO_Transmitter",15.000,0.5316,13.580,282.665,66.825,1866.645323,0.000,0.000,15.000,-167.811,0.0000,1.000000,181.3908,0.9999,-121.851856,15.0761,0.000,0.0000,181.3908,0.0000,0.0000
